Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
5, 12, 363028480.0, 123932672, 360726528.0, 117243904, 16831771652883793920, 16831771653308788736, 16831771653308882944, 16831771653007820800
6, 12, 357181440.0, 134565888, 360726528.0, 117243904, 16831771653010096128, 16831771653434560512, 16831771653434646528, 16831771653144748032
7, 12, 362680320.0, 115859456, 360726528.0, 117243904, 16831771653145546752, 16831771653566156800, 16831771653566244864, 16831771653261494272
0, 13, 110670848.0, 742799360, 362680320.0, 115859456, 16831772684049362944, 16831772684531433472, 16831772684532312064, 16831772684793040896
1, 13, 369741824.0, 116924416, 362680320.0, 115859456, 16831772684796309504, 16831772685224513536, 16831772685224665088, 16831772684913385472
2, 13, 136125440.0, 631687168, 362680320.0, 115859456, 16831772684914860032, 16831772685366829056, 16831772685366970368, 16831772685546688512
3, 13, 377330688.0, 149534720, 362680320.0, 115859456, 16831772685548142592, 16831772686000240640, 16831772686000369664, 16831772685697806336
4, 13, 129172480.0, 598943744, 362680320.0, 115859456, 16831772685699168256, 16831772686127812608, 16831772686127939584, 16831772686298238976
5, 13, 360513536.0, 117469184, 362680320.0, 115859456, 16831772686299389952, 16831772686718638080, 16831772686718844928, 16831772686417065984
6, 13, 130484224.0, 636215296, 362680320.0, 115859456, 16831772686418440192, 16831772686867032064, 16831772686867185664, 16831772687054809088
7, 13, 361817088.0, 115075072, 362680320.0, 115859456, 16831772687056033792, 16831772687475388416, 16831772687475519488, 16831772687171239936
0, 14, 263088128.0, 131231744, 361817088.0, 115075072, 16831773718055702528, 16831773718384406528, 16831773718384607232, 16831773718187134976
1, 14, 264612864.0, 120129536, 361817088.0, 115075072, 16831773718190209024, 16831773718514886656, 16831773718514972672, 16831773718310424576
2, 14, 261150720.0, 117088256, 361817088.0, 115075072, 16831773718311430144, 16831773718631124992, 16831773718631217152, 16831773718428610560
3, 14, 266301440.0, 118849536, 361817088.0, 115075072, 16831773718429642752, 16831773718755368960, 16831773718755454976, 16831773718548578304
4, 14, 270028800.0, 118693888, 361817088.0, 115075072, 16831773718549630976, 16831773718879006720, 16831773718879100928, 16831773718668419072
5, 14, 274240512.0, 131700736, 361817088.0, 115075072, 16831773718670163968, 16831773719010254848, 16831773719010344960, 16831773718801954816
6, 14, 266927104.0, 127072256, 361817088.0, 115075072, 16831773718803462144, 16831773719133925376, 16831773719134023680, 16831773718930632704
7, 14, 267847680.0, 113541120, 361817088.0, 115075072, 16831773718931912704, 16831773719256530944, 16831773719256621056, 16831773719045543936
0, 15, 204873728.0, 155934720, 267847680.0, 113541120, 16831774749903915008, 16831774750186756096, 16831774750186909696, 16831774750060003328
1, 15, 197552128.0, 114139136, 267847680.0, 113541120, 16831774750062794752, 16831774750317416448, 16831774750317502464, 16831774750177019904
2, 15, 197622784.0, 118958080, 267847680.0, 113541120, 16831774750177921024, 16831774750435022848, 16831774750435108864, 16831774750296965120
3, 15, 198169600.0, 117049344, 267847680.0, 113541120, 16831774750297835520, 16831774750554529792, 16831774750554619904, 16831774750414974976
4, 15, 196792320.0, 115789824, 267847680.0, 113541120, 16831774750415994880, 16831774750670682112, 16831774750670768128, 16831774750531870720
5, 15, 198375424.0, 116084736, 267847680.0, 113541120, 16831774750532714496, 16831774750789132288, 16831774750789230592, 16831774750648897536
6, 15, 196950016.0, 123072512, 267847680.0, 113541120, 16831774750649937920, 16831774750908424192, 16831774750908538880, 16831774750773125120
7, 15, 195206144.0, 109512704, 267847680.0, 113541120, 16831774750773805056, 16831774751023767552, 16831774751023861760, 16831774750883411968
